recipe_id,ingredients,title,ingredients_parsed
ErR7U5EHF2NKZgmf7wtU,"['Chicken thighs / chicken breasts', 'All purpose flour', 'Cornflour', 'Ginger garlic paste', 'dark Soy sauce', 'Chilli sauce', 'Kashmiri Chilli powder', 'Black Pepper powder', 'Egg', 'Oil for Frying', 'dark Soy sauce', 'Chilli sauce', 'Tomato ketchup', 'Chilli powder', 'Synthetic Vinegar', 'Water', 'Vegetable oil', 'Green chillies', 'finely chopped Garlic', 'finely chopped Ginger', 'Onions', 'green Capsicum', 'finely chopped Spring onions (green part only)']",Easy Chinese Chilli Chicken Dry,chicken thigh chicken breast flour cornflour paste soy kashmiri egg soy tomato synthetic vegetable onion capsicum onion
65loppelX4cLjmpNhi3Y,"['Byadgi Chillies', 'Kashmiri Red Chillies', 'Garlic', 'Oil', 'Mustard Seeds', 'Cumin Seeds', 'Hing', 'chopped Curry Leaves', 'chopped Onion', 'chopped Tomato', 'Turmeric Powder', 'Coriander Powder', 'Misal Masala', 'Mixed Sprouts', 'Water', 'Salt', 'Jaggery', 'chopped Coriander Leaves', 'Wedges Lemon']",Misal Pav Recipe,byadgi kashmiri hing curry onion tomato misal masala sprout jaggery lemon
P9wsnqCWCYUBBACymm0l,"['Brussel Sprouts', 'Honey', 'Oil', 'Salt', 'Paprika', 'Garlic Powder']",Air Fryer Brussel Sprouts - Sweet and Spicy,brussel sprout
nXsVLqpJghK2fuMzUqy7,"['Bacon Strips', 'Onion', 'Garlic Cloves', 'Jalapenos', 'Corn Kernels', 'Potatoes', 'Chicken Breast', 'Chicken Broth', 'Dried Thyme', 'Salt and Pepper to taste', 'Cream', 'All Purpose Flour', 'Extra cooked bacon and chives for topping']",Instant Pot Chicken Potato Corn Chowder with Bacon (Pressure Cooker Recipe),bacon onion jalapeno kernel potato chicken breast chicken broth cream flour bacon chive topping
a7BJan7K0rnFuNJt9kpP,"['Eggs', 'Sugar', 'whole Milk', 'heavy Cream', 'Vanilla Extract', 'freshly grated Nutmeg']",Non Alcoholic Eggnog,egg sugar milk cream
rnDPKC3kA0I22upwIUSN,"['Potatoes', 'Garlic Cloves', 'Water', 'Salt', 'Butter', 'Sour Cream', 'Cream Cheese', 'Hot Milk', 'More butter and chopped chives for topping']",Instant Pot Garlic Mashed Potatoes (Pressure Cooker Recipe),potato butter cream cream cheese milk butter chive topping
0gUWK2QbpaMHWVfOlEyT,"['Chicken', 'Chilli Powder', 'Kasuri Methi', 'Salt', 'Mustard Oil', 'chopped Ginger', 'Spinach', 'Coriander Leaves', 'Green Chillies', 'Jeera', 'Cloves', 'Green Cardamom', 'Black Cardamon', 'Cinnamon Stick', 'Bayleaf', 'finely chopped Onion', 'Ginger Garlic Paste', 'Coriander Powder', 'Salt', 'finely chopped Tomatoes', 'whisked Curd or Greek Yogurt', 'Water', 'Garam Masala', 'roasted Kasuri Methi', 'Fresh Cream']",Saag Chicken,chicken kasuri methi spinach jeera cardamon bayleaf onion paste tomato whisked curd greek yogurt masala kasuri methi cream
vZoNUDxozZ9NzSWrwXRe,"['Butter', 'Jaggery Powder', 'Khoya', 'Ground Cardamom', 'Vanilla Extract', 'All Purpose Flour', 'Whole Milk', 'Curd or plain Yogurt', 'Semolina', 'Baking Powder', 'Baking Soda', 'Salt', 'sliced Almonds']",Jaggery Mawa Cake,butter jaggery khoya flour milk curd yogurt semolina
YwFNP1f3Y4MHqTsUXMy6,"['Oil', 'minced Garlic', 'chopped Onions', 'chopped Green Capsicum', 'Taco Seasoning', 'Salt', 'chopped Tomatoes', 'chopped Jalapenos', 'Corn', 'cooked Kidney Beans', 'Water', 'Cornstarch']",Comforting Vegetarian Mexican Soup with Beans,onion capsicum taco tomato jalapeno kidney bean
l5PnwxbuIhERcn6Y1FFI,"['Potatoes', 'Oil for deep frying', 'Chilli powder', 'Garlic Paste', 'Red Chilli Paste', 'Corn Flour', 'All Purpose Flour', 'Salt', 'All Purpose Flour', 'Corn Flour', 'Black Pepper', 'Water', 'Oil', 'Garlic', 'Red Chilli Flakes', 'White Sesame Seeds', 'Vinegar', 'Soy Sauce', 'Tomato Ketchup', 'Honey', 'Red Chilli Paste', 'Water ', 'Corn Flour', 'Spring Onion', 'Salt', 'Pepper']",Crispy Honey Chilli Potatoes,potato deep paste paste flour flour flour flour sesame soy tomato paste flour onion
va5pdHUrsCSDIZOYR7xh,"['grated boiled potatoes', 'Amul Cheese', 'Mozzarella', 'Green Chillies', 'Italian Seasoning', 'fresh Garlic Paste', 'Salt', 'Black Pepper', 'Corn Kernels', 'chopped Red Capsicum', 'chopped Green Capsicum', 'Peri Peri Seasoning', 'Oil', 'Cornstarch', 'All Purpose Flour', 'Salt', 'freshly ground Black Pepper', 'Water', 'Breadcrumbs for coating', 'Salt']",Homemade Cheese Balls,boiled potato amul cheese mozzarella paste kernel capsicum capsicum peri peri flour coating
YdISd31GlfpzNHM1oUCW,"['Chicken Thighs', 'Oil', 'Hung Curd', 'Kashmiri Chilli Powder', 'Coriander Powder', 'Turmeric', 'Ginger Garlic Paste', 'Garam Masala Powder', 'Salt', 'Oil', 'Butter', 'Cinnamon', 'Green Cardamom Pods', 'Cloves', 'Kashmiri Red Chillies', 'Garlic Cloves', 'Onion', 'Cashew Nuts', 'Tomatoes', 'Red Chilli Powder', 'Ketchup', 'Kasuri Methi', 'Salt', 'Fresh Cream']",Easy Restaurant Style Butter Chicken Masala (Murgh Makhani),chicken thigh hung curd kashmiri paste masala butter kashmiri onion cashew tomato kasuri methi cream
RKbP6QZqerrrRUvBAfHb,"['Potatoes', 'Water', 'Garlic Cloves', 'Onion Powder', 'Salt', 'Freshly ground Pepper ', 'Butter', 'Full Fat Milk', 'Cream']",Best Slow Cooker Mashed Potatoes + 4 Add In Ideas,potato onion butter full milk cream
nFmMcUr52jYZiPBBS80x,"['Hakka Noodles or Lo Mein Noodles', 'Salt', 'Cornflour', 'Canola Oil for frying']",How to make Crispy Fried Noodles at home,hakka noodle lo mein noodle cornflour
Wj2VhB27UOopKiNbNgrF,"['Chicken', 'Salt', 'Black Pepper', 'Lemon Juice', 'Oil', 'Onions', 'Ginger', 'Garlic cloves', 'Cashew nuts', 'Oil', 'Green Cardamoms', 'Cloves', 'Cinnamon', 'Yogurt', 'Garam Masala', 'Black Pepper', 'Green Chillies', 'Kasuri Methi', 'Cream', 'Salt']",Chicken Kali Mirch,chicken lemon onion cashew yogurt masala kasuri methi cream
PAcd6qqxc38H4Cmn4fAf,"['All Purpose Flour', 'Baking Soda', 'Sugar', 'Salt', 'Curd ', 'Oil', 'chopped Garlic', 'chopped Green Chillies', 'chopped Coriander Leaves', 'Chaat Masala', 'grated Mozzarella Cheese', 'chopped Garlic', 'chopped Coriander Leaves', 'grated Mozzarella Cheese', 'Butter']",Chilli Garlic Cheese Stuffed Kulcha,flour sugar curd chaat masala mozzarella cheese mozzarella cheese butter
RmO5sAqOrEoggyNb0BhM,"['Oil', 'Butter', 'Kashmiri Red Chilies', 'Ginger Garlic Paste', 'Bay leaves', 'Cinnamon Stick', 'Cloves', 'Cardamoms', 'Peppercorns', 'Onion', 'Tomatoes', 'Cashew Nuts', 'Khus Khus White Poppy Seeds', 'Salt', 'Red Chilli Powder', 'Turmeric', 'Garam masala', 'Dried Kasuri Methi', 'Ketchup', 'Paneer cubes or Cottage Cheese', 'Basmati Rice', 'Bay Leaf', 'Salt', 'Ghee', 'Water', 'Ghee', 'chopped Coriander Leaves', 'chopped Mint Leaves', 'Fried Onions']",Paneer Makhani Biryani,butter kashmiri chilies paste onion tomato cashew khus khus poppy masala kasuri methi paneer cheese rice fried onion
84yukV6haf8wLYW475m5,"['Jumbo Prawns or Shrimp', 'Dried Kashmiri Red Chillies', 'Garlic Cloves', 'whole Peppercorns', 'Whole Coriander Seeds', 'Cumin seeds', 'Small knob of Tamarind', 'Turmeric Powder', 'freshly grated Coconut', 'Coconut Milk', 'Coconut Oil', 'finely minced Ginger', 'finely chopped Onions', 'finely chopped Tomatoes', 'Salt', 'Curry Leaves']",Goan Prawn Curry with Coconut (Ambot Tik),jumbo prawn shrimp kashmiri coconut coconut milk coconut onion tomato curry
XCP0VNu5RmozZnBR67c3,"['Chicken Thigh', 'Soy Sauce', 'Black Pepper', 'Salt', 'Egg', 'Corn Flour', 'Rice Flour', 'Oil', 'Oil', 'finely chopped Garlic', 'finely chopped Ginger', 'finely chopped Celery', 'Onion', 'Capsicum (Green Bell Pepper)', 'Soy Sauce', 'Vinegar', 'Black Pepper', 'Spring Onion Greens']",Salt and Pepper Chicken,chicken thigh soy egg flour rice flour celery onion capsicum soy onion
bQSjEFxd3UrnTT7NOVtw,"['Oil ', 'Chicken Thigh', 'Soy Sauce', 'Salt', 'Pepper', 'Kashmiri Red Chilli Powder', 'Rice Flour', 'All Purpose Flour', 'Egg White', 'finely chopped Garlic', 'finely chopped Garlic', 'Red Chilli Paste', 'Onion', 'Green Capsicum', 'Cashew Nuts', 'Soy Sauce', 'Vinegar', 'Ketchup', 'Salt', 'Pepper', 'Corn Flour', 'Water']",Restaurant Style Dragon Chicken,chicken thigh soy kashmiri rice flour flour egg paste onion capsicum cashew soy flour
55DRqOy614SvtHmrlKcp,"['Chicken', 'Ginger Garlic Paste', 'Juice of lime', 'Salt', 'Mustard Oil', 'Onions', 'Garlic', 'Ginger', 'Green Chilies', 'Cumin Seeds', 'Bay leaves', 'Cinnamon stick', 'Cardamoms', 'Peppercorns', 'Cloves', 'Tomatoes', 'Turmeric Powder', 'Red Chili Powder', 'Coriander Powder', 'garam masala Powder', 'Salt', 'Ghee or Oil', 'Butter', 'Green Chilies', 'Ginger', 'Coriander']",Dhaba Style Chicken Curry,chicken paste lime onion chilies tomato masala butter chilies
jjKEDmvtqzyTdnbwxIrv,"['Grated Carrot', 'finely chopped Cabbage', 'finely chopped Spring Onion ', 'finely chopped Onion', 'finely chopped Green Beans', 'Ginger Garlic Paste', 'Green Chilli Paste', 'Salt', 'Corn Flour', 'All Purpose Flour', 'Oil', 'Oil', 'finely chopped Ginger', 'finely chopped Garlic', 'finely chopped Celery', 'finely chopped Onion', 'Green Chillies', 'Vegetable Stock or Water', 'Soy Sauce', 'Vinegar', 'Salt', 'Corn Flour', 'Water', 'Chopped Coriander', 'Chopped Spring Onion']",Veg Manchurian Recipe,carrot cabbage onion onion bean paste paste flour flour celery onion vegetable stock soy flour onion
YuTsJvEKeTeeoOcyYxmY,"[' Milk', 'Active Dry Yeast', 'Sugar', 'All Purpose Flour', 'Milk Powder', 'Butter', 'Salt', 'Oil', 'Milk', 'Butter']",Ladi Pav,milk yeast sugar flour milk butter milk butter
DtrMouTvlXGK7X0TViJ2,"['Vegetable Oil', 'Butter', 'Cumin Seeds', 'Green Capsicum', 'Onion', 'Tomatoes', 'Pav Bhaji Masala', 'Salt', 'Kashmiri Red Chilli Powder', 'Coriander Powder', 'Turmeric Powder', 'Garlic Paste', 'Green Chilli Paste', 'Potato', 'Carrots', 'Beetroot', 'Green Peas', 'Kasuri Methi', 'Lemon', 'Water', 'Coriander Leaves', 'Butter']",Pav Bhaji - Mumbai Style,vegetable butter capsicum onion tomato pav bhaji masala kashmiri paste paste potato carrot beetroot pea kasuri methi lemon butter
sj60LfXpBQx7DC0j8eXN,"['Oats', 'Semolina', 'Rice Flour', 'homemade Curd or Yogurt', 'Cumin Seeds', 'Chopped Onion', 'Ginger', 'Green Chillies', 'Sprigs Curry Leaves', 'Chopped Coriander Leaves', 'Salt', 'Water', 'Oil/Ghee']",Oats Dosa - Healthy Breakfast Recipe,oat semolina rice flour homemade curd yogurt onion curry
mz7q1gk59LRlQWBJ4b5Y,"['Ghee', 'Garlic ', 'Green Chillies', 'Onion', 'chopped Palak', 'fresh Coriander ', 'Bay leaf', 'Cardamom Pods', 'Cloves', ' Tomato', 'Jeera Powder', 'Coriander Powder', 'Garam Masala Powder', 'Salt', 'Kasuri Methi ', 'Corn', 'Cream', 'Ghee', 'Garlic Cloves', 'Dried Red Chillies', 'Jeera', 'Red Chilli Powder']",Lasooni Corn Palak | Makai Palak,onion palak tomato jeera masala kasuri methi cream jeera
bHRg98DPy8KYWUyZTXxM,"['Vegetable oil', 'Garlic', 'Ginger', 'Shallots', 'Kashmiri Red Chilies', 'Byadgi Chillies', 'soy sauce', 'Vinegar', 'Water', 'Ketchup', 'Sugar', 'Salt ']",How To Make Schezwan Sauce (Step by Step Video),vegetable shallot kashmiri chilies byadgi soy sugar
SvKjyfHabiI3P6VRwV3V,"['Eggplant', 'Garlic Cloves', 'Oil', 'Nigella Seeds', 'Garlic Cloves', 'Ginger', 'Green Chilli', 'Medium Onion', 'Tomatoes', 'Red Chilli Powder', 'Coriander Powder', 'Turmeric Powder', 'Salt to taste', 'Roasted Baingan Pulp', 'boiled Green Peas', 'Chopped Coriander']",Easy Baingan Bharta (Smoky eggplant stir-fry),eggplant nigella onion tomato baingan pulp boiled pea
CDQ4YPi4iDxseQJPWBkB,"['Chicken', 'Curd', 'Ginger Garlic Paste', 'Turmeric', 'Salt', 'Chilli Powder', 'Coriander Seeds', 'Cumin Seeds', 'Fennel Seeds', 'Black Peppercorns', 'Dry Red Chillies', 'Mustard Oil', 'Bayleaf', 'Peppercorns', 'Jeera', 'Cinnamon', 'Onion', 'Ginger Garlic Paste', 'Turmeric Powder', 'Red Chilli', 'Coriander Powder', 'Jeera Powder', 'Karahi masala', 'Salt', 'Ginger', 'chopped Garlic', 'Tomatoes', 'Ghee', 'whole Red Chillies', 'Sambar Onion', 'Capsicum', 'Garam Masala', 'Kasuri Methi', 'Butter', 'chopped Coriander']",Karahi Chicken,chicken curd paste bayleaf jeera onion paste jeera karahi masala tomato sambar onion capsicum masala kasuri methi butter
WISwwH8DIWcNXt3dmM01,"['Spinach - leaves only', 'Oil', 'finely chopped Garlic', 'finely chopped Ginger', 'Toasted Sesame Seeds', 'Red Chilli Flakes', 'Castor Sugar', 'Salt']",Crackling Spinach,spinach only sesame castor sugar
KyTfhMrESVXkj5yJ8gZE,"['Paneer', 'Kashmiri Red Chilli Powder', 'Ginger Garlic Paste', 'Soy Sauce', 'Tomato Ketchup', 'Lemon Juice', 'Salt', 'Dry Noodles', 'Salt', 'Oil', 'Water', 'Corn Flour', 'Oil']",Crispy Thread Paneer,paneer kashmiri paste soy tomato lemon noodle flour
8WQmgar5jqQ6YZVcu6Be,"['Onion', 'Ginger', 'Garlic', 'Bayleaf', 'Green Cardamom', 'Black Cardamom', 'Black Peppercorns', 'Saunf', 'Coriander Seeds', 'Cinnamon Stick', 'Star Anise', 'Cloves', 'Mace', 'Saffron Strands', 'Mutton', 'Water', 'Salt', 'Basmati Rice', 'Ghee', 'Cumin Seeds', 'Cloves', 'Peppercorns', 'Green Cardamom', 'Black Cardamom', 'Green Chillies', 'Cinnamon', 'Bayleaf', 'Onions', 'of Hing', 'Ginger Garlic Paste', 'Fennel Powder', 'Jeera Powder', 'Curd', 'Salt']",Mutton Yakhni Pulao,onion bayleaf saunf star mace strand mutton rice bayleaf onion hing paste jeera curd
yZYHUm6VU2WnMPZlIXsy,"['Potatoes', 'Carrots', 'Green Beans', 'Beetroot', 'Green Peas', 'Water', 'Poha or Flattened Rice', 'Corn Flour', 'Black pepper powder', 'Chaat Masala', 'Cumin powder', 'Red chilli powder', 'Salt', 'Roasted Vermicelli', 'Oil for frying', 'Coriander leaves', 'Mint leaves', 'Green Chillies', 'Garlic', 'Ginger', 'Maida', 'Water', 'Coriander Leaves', 'Mint Leaves', 'Raw Mango', 'Green Chilli', 'Cumin Seeds', 'Salt', 'Sugar', 'Water']",Railway Style Veg Cutlets,potato carrot bean beetroot pea poha flattened rice flour chaat masala vermicelli maida mango sugar
q5zHSEQDZgCNo0qqeg2u,"['Gram Flour', 'Rice Flour', '+ 2 Tablespoons Water', 'Salt', 'Red Chilli Powder', 'Chaat Masala', 'A Pinch Hing', 'Oil', 'Cumin Seeds', 'grated Ginger', 'finely chopped Green Chilli', 'Hing', 'Turmeric Powder', 'Red Chilli Powder', 'Chaat Masala', 'boiled and mashed Potato', 'Salt', 'finely chopped Onion', 'finely chopped Coriander Leaves', 'Carom Seeds', 'Chaat Masala', 'Salt', 'Long Green Chillies', 'Oil']",Mirchi Bajji - 2 Ways,flour rice flour chaat masala hing hing chaat masala boiled mashed potato onion carom chaat masala
vOLK3sX1YRJjrQ4u6DzE,"['Tur Dal', 'Turmeric Powder', 'Salt', 'Ghee', 'Oil', 'Cumin Seeds', 'Hing', 'Whole Red Chillies', 'chopped Garlic', 'chopped Ginger', 'Green Chillies', 'Curry Leaves', 'chopped Onions', 'chopped Tomato', 'Red Chilli Powder', 'Turmeric', 'Coriander Powder', 'Salt', 'Water', 'chopped Coriander', 'Coal', 'Ghee']",Dhaba Dal Tadka,tur dal hing curry onion tomato coal
UOND9uIqPcEcnqV4T246,"['Maida', 'Ghee', 'Salt', 'Water ', 'Oil', 'Coriander Seeds', 'Saunf', 'A pinch of Methi Seeds', 'Ginger Paste', 'Garlic Paste', ' Green Chillies', 'Red Chilli Powder', 'Coriander Powder', 'Turmeric Powder', 'Raw Mango Powder', 'Garam Masala Powder', 'Potatoes', 'Curry Leaves', 'Salt to taste']",The Best Indian Punjabi Samosa,maida saunf methi paste paste mango masala potato curry
GXRUSCnksWZK98KcVk3m,"['All Purpose Flour ', 'Water', 'Salt', 'Chicken Mince', ' finely chopped Onion', ' finely chopped Celery', 'finely chopped Spring Onion ', ' finely chopped Ginger', ' finely chopped Garlic', 'Oyster Sauce', 'Cornflour', 'Salt', 'Pepper', 'Oil', ' finely chopped Garlic', ' finely chopped Ginger', ' finely chopped Onion', ' finely chopped Cabbage', ' finely chopped Carrot', 'Soy Sauce', 'Sugar', 'Salt', 'Pepper']",Momos Recipe - Veg and Chicken,flour chicken mince onion celery onion oyster cornflour onion cabbage carrot soy sugar
V7CIZqJUR4bviApRmWrJ,"['freshly grated Coconut', 'Coconut Oil', 'Onions', 'Kashmiri Red Chilies', 'Mustard Seeds', 'Coriander Seeds', 'Garlic', 'whole Peppercorns', 'Curry Leaves', 'Tamarind', 'Tomato', 'Water', 'Seer Fish', 'Turmeric Powder', 'Coconut Oil', 'Salt', 'Red Chilli Powder', 'Coconut Oil', 'Garlic', 'Mustard Seeds', 'Curry Leaves']",Spicy Fish Curry with Coconut and Tamarind,coconut coconut onion kashmiri chilies curry tomato seer fish coconut coconut curry
ccUkByv2qnHkKFGQuAnG,"['Ghee', 'Cashewnuts', 'Onions', 'Garlic Cloves', 'Ginger', 'Green Chillies', 'Cardamom Pods', 'Bayleaf', 'Cloves', 'Cinnamon stick', 'Chicken', 'Turmeric Powder', 'Coriander Powder', 'Chilli Powder', 'Garam Masala', 'Cream', 'Salt to taste']",Mughlai Chicken Recipe,cashewnuts onion bayleaf chicken masala cream
PJQOiFrSpInEaHehAMis,"['Olive Oil', 'Garlic', 'Bay Leaf', 'Peppercorns', 'large Potato', 'Mushrooms', 'Water', 'Milk', 'Salt to taste', 'Olive oil for topping']",Healthy Cream of Mushroom Soup,potato mushroom milk topping
DchuOPl22OAIM0gS2qLK,"['Spaghetti', 'Olive oil', 'Button Mushrooms', 'Oyster Mushrooms', 'Garlic', 'Chilli Flakes', 'chopped Parsley', 'Parmesan', 'Salt ']",15 minutes Mushroom Spaghetti Aglio Olio,spaghetti button mushroom oyster mushroom parmesan
S30ljx39YJ79XvfttqqK,"['Oil', 'Butter', 'Paneer cubes', 'Kashmiri Red Chilies', 'Ginger Garlic Paste', 'Bay leaves', 'Cinnamon Stick', 'Cloves', 'Cardamoms', 'Peppercorns', 'Cashew Nuts', 'Khus Khus', 'Onion', 'Tomatoes', 'Salt', 'red Chilli powder', 'Garam masala', 'Turmeric', 'Ketchup', 'dried Kasuri Methi', 'Fresh Cream']",Restaurant Style Paneer Butter Masala,butter paneer kashmiri chilies paste cashew khus khus onion tomato masala kasuri methi cream
xmXaBweY5O7lDbriAY2v,"['Noodles', 'Salt', 'Water for boiling', 'Vegetable Oil', 'minced Garlic ', 'Chicken thighs', 'Spring Onion', ' thinly sliced Onion', ' julienned Carrot', 'sliced Beans ', ' thinly shredded Cabbage', 'Spring Onion', 'Soy Sauce', 'Red Chilli Sauce', 'Tomato Ketchup', 'Vinegar', 'Cornflour', 'Water', 'Salt', 'Pepper']",Easy Chicken Chow Mein,noodle vegetable chicken thigh onion onion julienned carrot bean cabbage onion soy tomato cornflour
Fg2gCo0kSUPcqaaMTEIN,"['Oil', 'Mustard Seeds', 'Sprigs Curry Leaves', 'Onions', 'chopped Garlic', 'chopped Tomato', 'Chilli Powder', 'Coriander Powder', 'Turmeric', 'green chilli finely chopped', 'Salt', 'Jaggery', 'chopped Coriander', 'Oil', 'small Onion', 'Garlic Cloves', 'Ginger', 'Chana Dal', 'dried Red Chillies', 'medium Tomatoes', 'Salt', 'Mustard Seeds', 'sprig Curry Leaves']",Tomato Chutney - 2 ways,curry onion tomato jaggery onion chana dal tomato curry
